project,fn,representative_type_base,n_type_contexts,source_visibility_any_pub,reduction_status,raw_pub,raw_concrete,raw_abstract,all_reasons,type_bases_sample,source_paths_sample
anvil-controller,clone,VReplicaSetReconcileStep,1,no,project_not_in_public_determinism_run,,,,project_not_in_public_determinism_run:1,VReplicaSetReconcileStep,src/controllers/vreplicaset_controller/trusted/step.rs
anvil-controller,controller_owner_ref,VReplicaSet,1,yes,project_not_in_public_determinism_run,,,,project_not_in_public_determinism_run:1,VReplicaSet,src/controllers/vreplicaset_controller/trusted/exec_types.rs
anvil-controller,error_state,,1,yes,project_not_in_public_determinism_run,,,,project_not_in_public_determinism_run:1,,src/controllers/vreplicaset_controller/exec/reconciler.rs
anvil-controller,filter_by_controller_owner,,1,no,project_not_in_public_determinism_run,,,,project_not_in_public_determinism_run:1,,src/controllers/vreplicaset_controller/exec/reconciler.rs
anvil-controller,filter_pods,,1,no,project_not_in_public_determinism_run,,,,project_not_in_public_determinism_run:1,,src/controllers/vreplicaset_controller/exec/reconciler.rs
anvil-controller,has_vrs_prefix,,1,no,project_not_in_public_determinism_run,,,,project_not_in_public_determinism_run:1,,src/controllers/vreplicaset_controller/exec/reconciler.rs
anvil-controller,is_controller_owner,,1,no,project_not_in_public_determinism_run,,,,project_not_in_public_determinism_run:1,,src/controllers/vreplicaset_controller/exec/reconciler.rs
anvil-controller,make_owner_references,,1,yes,project_not_in_public_determinism_run,,,,project_not_in_public_determinism_run:1,,src/controllers/vreplicaset_controller/exec/reconciler.rs
anvil-controller,make_pod,,1,no,project_not_in_public_determinism_run,,,,project_not_in_public_determinism_run:1,,src/controllers/vreplicaset_controller/exec/reconciler.rs
anvil-controller,objects_to_pods,,1,no,project_not_in_public_determinism_run,,,,project_not_in_public_determinism_run:1,,src/controllers/vreplicaset_controller/exec/reconciler.rs
anvil-controller,pod_generate_name,,1,no,project_not_in_public_determinism_run,,,,project_not_in_public_determinism_run:1,,src/controllers/vreplicaset_controller/exec/reconciler.rs
anvil-controller,reconcile_core,,1,yes,project_not_in_public_determinism_run,,,,project_not_in_public_determinism_run:1,,src/controllers/vreplicaset_controller/exec/reconciler.rs
anvil-controller,reconcile_done,,1,yes,project_not_in_public_determinism_run,,,,project_not_in_public_determinism_run:1,,src/controllers/vreplicaset_controller/exec/reconciler.rs
anvil-controller,reconcile_error,,1,yes,project_not_in_public_determinism_run,,,,project_not_in_public_determinism_run:1,,src/controllers/vreplicaset_controller/exec/reconciler.rs
