project,source_repo,source_path,source_line,type_base,fn,source_visibility,raw_eval_match,raw_pub,raw_concrete,raw_abstract,raw_file,exclusion_reason
anvil-library,anvil-verifier/anvil,src/vstd_ext/string_map.rs,26,StringMap,new,pub,none,,,,,not_in_pub_fn_eval_raw; not selected/extracted as determinism target from VeruSAGE standalone tasks
anvil-library,anvil-verifier/anvil,src/vstd_ext/string_map.rs,32,StringMap,empty,pub,none,,,,,not_in_pub_fn_eval_raw; not selected/extracted as determinism target from VeruSAGE standalone tasks
anvil-library,anvil-verifier/anvil,src/vstd_ext/string_map.rs,39,StringMap,len,pub,none,,,,,not_in_pub_fn_eval_raw; not selected/extracted as determinism target from VeruSAGE standalone tasks
anvil-library,anvil-verifier/anvil,src/vstd_ext/string_map.rs,46,StringMap,clone,pub,none,,,,,not_in_pub_fn_eval_raw; not selected/extracted as determinism target from VeruSAGE standalone tasks
anvil-library,anvil-verifier/anvil,src/vstd_ext/string_map.rs,53,StringMap,contains_key,pub,none,,,,,not_in_pub_fn_eval_raw; not selected/extracted as determinism target from VeruSAGE standalone tasks
anvil-library,anvil-verifier/anvil,src/vstd_ext/string_map.rs,60,StringMap,insert,pub,none,,,,,not_in_pub_fn_eval_raw; not selected/extracted as determinism target from VeruSAGE standalone tasks
anvil-library,anvil-verifier/anvil,src/vstd_ext/string_map.rs,70,StringMap,remove,pub,none,,,,,not_in_pub_fn_eval_raw; not selected/extracted as determinism target from VeruSAGE standalone tasks
anvil-library,anvil-verifier/anvil,src/vstd_ext/string_map.rs,80,StringMap,get_uncloned,pub,none,,,,,not_in_pub_fn_eval_raw; not selected/extracted as determinism target from VeruSAGE standalone tasks
anvil-library,anvil-verifier/anvil,src/vstd_ext/string_map.rs,89,StringMap,get,pub,none,,,,,not_in_pub_fn_eval_raw; not selected/extracted as determinism target from VeruSAGE standalone tasks
anvil-library,anvil-verifier/anvil,src/vstd_ext/string_map.rs,101,StringMap,extend,pub,none,,,,,not_in_pub_fn_eval_raw; not selected/extracted as determinism target from VeruSAGE standalone tasks
anvil-library,anvil-verifier/anvil,src/vstd_ext/string_map.rs,108,StringMap,keys,pub,none,,,,,not_in_pub_fn_eval_raw; not selected/extracted as determinism target from VeruSAGE standalone tasks
anvil-library,anvil-verifier/anvil,src/vstd_ext/string_view.rs,13,,string_equal,pub,none,,,,,not_in_pub_fn_eval_raw; not selected/extracted as determinism target from VeruSAGE standalone tasks
anvil-library,anvil-verifier/anvil,src/vstd_ext/string_view.rs,21,,i32_to_string,pub,none,,,,,not_in_pub_fn_eval_raw; not selected/extracted as determinism target from VeruSAGE standalone tasks
anvil-library,anvil-verifier/anvil,src/vstd_ext/string_view.rs,28,,usize_to_string,pub,none,,,,,not_in_pub_fn_eval_raw; not selected/extracted as determinism target from VeruSAGE standalone tasks
