project,fn,representative_type_base,source_visibility_any_pub,source_paths_sample,content_check_class,explanation,unverified_definition_files_sample,unverified_mention_only_files_sample,verified_definition_files_sample,verified_mention_only_files_sample
anvil-library,bool_to_string,,yes,src/vstd_ext/string_view.rs,source_repo_only_no_task_content_match,Function was found in the cloned source repo scan but not in VeruSAGE source-project task file contents.,,,,
anvil-library,clone,StringMap,yes,src/vstd_ext/string_map.rs,source_repo_only_no_task_content_match,Function was found in the cloned source repo scan but not in VeruSAGE source-project task file contents.,,,,
anvil-library,contains_key,StringMap,yes,src/vstd_ext/string_map.rs,mentioned_in_verified_files_only,"Function name appears in verified task files only, but not as a fn definition/signature.",,,,temporal_logic/leads_to_always_tla_forall.rs;vstd_exd/seq_lib/map_values_to_set_eq_to_set_mk_map_values.rs
anvil-library,dash_free_exec,,yes,src/vstd_ext/string_view.rs,source_repo_only_no_task_content_match,Function was found in the cloned source repo scan but not in VeruSAGE source-project task file contents.,,,,
anvil-library,empty,StringMap,yes,src/vstd_ext/string_map.rs,mentioned_in_verified_files_only,"Function name appears in verified task files only, but not as a fn definition/signature.",,,,vstd_exd/map_lib/injective_finite_map_implies_dom_len_is_equal_to_values_len.rs;vstd_exd/set_lib/element_in_finite_set_exists_in_set_to_seq.rs
anvil-library,extend,StringMap,yes,src/vstd_ext/string_map.rs,source_repo_only_no_task_content_match,Function was found in the cloned source repo scan but not in VeruSAGE source-project task file contents.,,,,
anvil-library,get,StringMap,yes,src/vstd_ext/string_map.rs,source_repo_only_no_task_content_match,Function was found in the cloned source repo scan but not in VeruSAGE source-project task file contents.,,,,
anvil-library,get_uncloned,StringMap,yes,src/vstd_ext/string_map.rs,source_repo_only_no_task_content_match,Function was found in the cloned source repo scan but not in VeruSAGE source-project task file contents.,,,,
anvil-library,i32_to_string,,yes,src/vstd_ext/string_view.rs,source_repo_only_no_task_content_match,Function was found in the cloned source repo scan but not in VeruSAGE source-project task file contents.,,,,
anvil-library,insert,StringMap,yes,src/vstd_ext/string_map.rs,mentioned_in_unverified_files_only,"Function name appears in unverified task files, but not as a fn definition/signature.",,map_values_to_set_eq_to_set_mk_map_values.rs;push_to_set_seq_to_set_insert.rs,,vstd_exd/map_lib/injective_finite_map_implies_dom_len_is_equal_to_values_len.rs;vstd_exd/seq_lib/map_values_to_set_eq_to_set_mk_map_values.rs;vstd_exd/seq_lib/push_to_set_seq_to_set_insert.rs
anvil-library,keys,StringMap,yes,src/vstd_ext/string_map.rs,source_repo_only_no_task_content_match,Function was found in the cloned source repo scan but not in VeruSAGE source-project task file contents.,,,,
